,UserName,OriginalTweet,Sentiment,Sentiment_float
0,2374,"Price gouging #California: illegal to charge more than 10% over price on day before emergency declared. File complaint at https://t.co/bSpa2Bc9TS  or 800-952-5225, or local police dept or sheriffs office! #coronavirus #SaturdayThoughts ?",Extremely Negative,1.0
1,727,Well done to everybody who has finished most of the stock at supermarkets ? now be ready for inflated prices for your next panic buying situation... This is what they wanted and you gave them exactly that! #CoronavirusPandemic #CoronaVirusUpdate #Covid_19,Positive,4.0
2,2041,"We're concerned...please help us support our local businesses, many of whom have online shopping platforms. We will get through this!!
#CoronavirusPandemic #coronavirus #COVID2019 #Bellingham #pnw #localbusiness #ShopLocal https://t.co/c7FXyUEJZs",Extremely Positive,5.0
3,1160,"If your grocery store is out of toilet paper, no worries @Amazon has a 18 roll of Charmin for $308.

How bad do you want it?

https://t.co/bFJKi9NTpM

#CoronaVirus
#Covid_19
#pricegouging https://t.co/sI6BFjMwW2",Extremely Negative,1.0
4,1308,"#shortages at the local supermarket #hoarding #coronavirus #Covid_19 #TrumpVirus  bleach,rice,paper goods https://t.co/StlyA2WjjL",Neutral,3.0
5,539,"Oil prices at an all time low, Alberta's 3rd winter + Coronavirus madness. I tap world - You Win ! #Covid_19 #oilprice #toiletpapercrisis #albertarecession",Negative,2.0
6,2071,Good move by @JohnKeellsGroup actually the 1st supermarket in Srilanka to concern about everyone's safety... #lka #SriLanka #Covid_19 https://t.co/tdaqCm63D1,Extremely Positive,5.0
7,1010,"I'm sending love to doctors, nurses and supermarket employees across the world ? 

Together, all across the World we can beat this Virus!

#bitcoin #Covid_19 #covid19Nederland #COVID2019NL https://t.co/qxOUOsBIZQ",Extremely Positive,5.0
8,767,Instacart and DoorDash now offer paid sick leave for workers diagnosed with COVID-19 https://t.co/0gYrJqKCDE The Verge - via @retailwire #retail #CoronaVirusUpdates @Instacart @DoorDash https://t.co/PeqLQhaPDv,Negative,2.0
9,1514,Will you drive 2 hrs away for a full grocery store?? #Covid_19  ?,Neutral,3.0
10,1448,"This is a good list if you're stocking up on food for a possible #coronavirus quarantine..
https://t.co/eOl8gl1mmS",Positive,4.0
11,778,Wondering if therell be anything on supermarket shelves by the time we have money again. Most worried about getting enough food for the cats. Since we get paid monthly I suspect ppl will think were #hoarding. That should be fun! #PanicBuying #Covid_19 #CoronavirusPandemic #sigh,Negative,2.0
12,395,"The psychology of consumer panic buying in the midst of the Covid-19 outbreak. #Covid_19
https://t.co/n9HpX2um7F",Negative,2.0
13,1318,"This would be a good time to stock the house with food items, water and other essentials. Have cash too. The World is not ready. #CoronaVirusUpdate #Covid_19",Positive,4.0
14,722,"Decided to join the party and to be fair, my little stock pile isn't even most peoples weekly shopping. Hopefully this #Covid_19 crap washes over and I'll just take the stuff to a food bank. #BetterSafeThanSorry https://t.co/t8U2y0ow3O",Extremely Positive,5.0
15,850,"if you live in a heavily COVID-19 affected area and cannot afford to stock up on things or lost your work study/job due to closings, message me your venmo @ and I will send you $100 to buy food/supplies no questions asked! I can only help the first 10 people",Negative,2.0
16,1515,Current state of my local grocery store. This is unreal. #covid19Canada #Covid_19 #panicbuying https://t.co/FSEQKLNArJ,Neutral,3.0
17,80,"CDC: Older folks should stock up on food, stay home amid #coronavirus - Business Insider  Wow! https://t.co/ygcPtE7F1L",Positive,4.0
18,1659,Has there been any initiates to stock the supplies of NL food banks with the onset of Covid-19? Food security is an issue here on a good day. @foodfirstNL #nlpoli,Extremely Positive,5.0
19,1736,"Im not really sweating this #CoronaVirus madness but Im not bypassing it either... just prepare yourself... stock up all you need to take care of yourself and your family.. food, water, cleaning products whatever. GOD BLESS US ALL #Covid_19 ??????",Extremely Positive,5.0
20,2577,"Heres a list of all @WEFoodbank Drop-Off points across the NE &amp; all donations are greatly appreciated at this unchartered time. Thanks.?

Theres a new WishList &amp; online Supermarket shopping can be sent for delivery during @WEFoodbank opening hours at these addresses:

#NUFC ? https://t.co/bgAyCPH4N0 https://t.co/oMI76q8Duu",Extremely Positive,5.0
21,13,"Panic food buying in Germany due to #coronavirus has begun.  But the #organic is left behind! #Hamsterkauf

Panic buying is called ""Hamster purchases""(Hamsterkäufe) in German, taken from the way Hamsters stuff their cheeks with food.  

https://t.co/aYQtLLGW1m",Extremely Negative,1.0
22,861,More than 4.4 million Canadians say they feel food insecure due to financial constraints: report https://t.co/3GPXCThrNM https://t.co/t507X4oG9k,Negative,2.0
23,471,".@DollarGeneral Corp beat quarterly same-store sales and profit expectations on Thursday, as it pulled in more bargain-hungry shoppers to its stores, but warned of #uncertainty around its business due to the #coronavirus outbreak. https://t.co/sXemzRuuit",Neutral,3.0
24,956,"it's really weird to go to the supermarket, have to wait in line to get in and then you see people wearing masks and gloves ??

it looks like the beginning of the apocalypse #Covid_19 https://t.co/r8IGT57dAN",Positive,4.0
25,1169,"The only thing #45 accomplished yesterday with that speech was to instill panic. Todays trip to the grocery store was ridiculous. Everything, including TP, was gone! #Covid_19 #thisisnotarmageddon #ToiletPaperEmergency",Negative,2.0
